Frequency,FFT2-7Q,FFT2-10Q,FFT2-12Q,FFT2-14Q,FFT2-17Q,FFT2-20Q,FFT2-23Q,FFT2-26Q,FFT2-29Q,FFT4-10Q,FFT4-14Q,FFT4-15.5Q,FFT4-17Q,FFT4-20Q,FFT4-23Q,FFT4-26Q,FFT4-29Q,FFT8-14Q,FFT8-17Q,FFT8-20Q,FFT8-23Q,FFT8-26Q,FFT8-29Q
1129.25,-3.7412,-2.8043,-2.5043,-1.7828,-1.5572,-1.4828,-1.4714,-1.4276,-1.3276,-4.3025,-2.9513,-2.5276,-2.0276,-1.5995,-1.3995,-1.2995,-1.4412,-4.262,-2.643,-1.962,-1.9276,-1.4995,-1.5143
1135.25,-3.7566,-2.8122,-2.5122,-1.791,-1.566,-1.491,-1.4857,-1.4389,-1.3389,-4.3197,-2.9621,-2.5389,-2.0389,-1.6116,-1.4116,-1.3116,-1.4566,-4.2758,-2.6637,-1.9758,-1.9389,-1.5116,-1.532
1141.25,-3.7724,-2.8199,-2.5199,-1.7991,-1.5749,-1.4991,-1.5003,-1.4502,-1.3502,-4.3375,-2.9727,-2.5502,-2.0502,-1.6239,-1.4239,-1.3239,-1.4724,-4.29,-2.685,-1.99,-1.9502,-1.5239,-1.5498
1147.25,-3.7885,-2.8275,-2.5275,-1.8072,-1.584,-1.5072,-1.515,-1.4615,-1.3615,-4.3558,-2.9833,-2.5615,-2.0615,-1.6364,-1.4364,-1.3364,-1.4885,-4.3046,-2.7069,-2.0046,-1.9615,-1.5364,-1.5679
1153.25,-3.8049,-2.8348,-2.5348,-1.8153,-1.5932,-1.5153,-1.5298,-1.4729,-1.3729,-4.3745,-2.9938,-2.5729,-2.0729,-1.6492,-1.4492,-1.3492,-1.5049,-4.3196,-2.7294,-2.0196,-1.9729,-1.5492,-1.5863
1159.25,-3.8216,-2.8419,-2.5419,-1.8233,-1.6025,-1.5233,-1.5448,-1.4844,-1.3844,-4.3937,-3.0041,-2.5844,-2.0844,-1.6622,-1.4622,-1.3622,-1.5216,-4.3349,-2.7524,-2.0349,-1.9844,-1.5622,-1.6049
1165.25,-3.8386,-2.8488,-2.5488,-1.8313,-1.6119,-1.5313,-1.56,-1.4959,-1.3959,-4.4133,-3.0144,-2.5959,-2.0959,-1.6754,-1.4754,-1.3754,-1.5386,-4.3506,-2.7759,-2.0506,-1.9959,-1.5754,-1.6238
1171.25,-3.8559,-2.8555,-2.5555,-1.8393,-1.6214,-1.5393,-1.5753,-1.5075,-1.4075,-4.4333,-3.0246,-2.6075,-2.1075,-1.6888,-1.4888,-1.3888,-1.5559,-4.3666,-2.7999,-2.0666,-2.0075,-1.5888,-1.6429
1177.25,-3.8735,-2.862,-2.562,-1.8472,-1.6311,-1.5472,-1.5908,-1.5192,-1.4192,-4.4536,-3.0346,-2.6192,-2.1192,-1.7024,-1.5024,-1.4024,-1.5735,-4.3829,-2.8244,-2.0829,-2.0192,-1.6024,-1.6623
1183.25,-3.8913,-2.8683,-2.5683,-1.8551,-1.6409,-1.5551,-1.6064,-1.5309,-1.4309,-4.4743,-3.0446,-2.6309,-2.1309,-1.7162,-1.5162,-1.4162,-1.5913,-4.3995,-2.8492,-2.0995,-2.0309,-1.6162,-1.6818
1189.25,-3.9095,-2.8743,-2.5743,-1.8629,-1.6508,-1.5629,-1.6222,-1.5427,-1.4427,-4.4954,-3.0544,-2.6427,-2.1427,-1.7302,-1.5302,-1.4302,-1.6095,-4.4163,-2.8745,-2.1163,-2.0427,-1.6302,-1.7017
1195.25,-3.9279,-2.8802,-2.5802,-1.8707,-1.6609,-1.5707,-1.6382,-1.5545,-1.4545,-4.5167,-3.0641,-2.6545,-2.1545,-1.7444,-1.5444,-1.4444,-1.6279,-4.4334,-2.9001,-2.1334,-2.0545,-1.6444,-1.7218
1201.25,-3.9465,-2.8857,-2.5857,-1.8785,-1.671,-1.5785,-1.6543,-1.5664,-1.4664,-4.5383,-3.0738,-2.6664,-2.1664,-1.7588,-1.5588,-1.4588,-1.6465,-4.4507,-2.926,-2.1507,-2.0664,-1.6588,-1.7421
1207.25,-3.9655,-2.8911,-2.5911,-1.8862,-1.6813,-1.5862,-1.6705,-1.5784,-1.4784,-4.5602,-3.0833,-2.6784,-2.1784,-1.7734,-1.5734,-1.4734,-1.6655,-4.4682,-2.9523,-2.1682,-2.0784,-1.6734,-1.7626
1213.25,-3.9846,-2.8962,-2.5962,-1.8939,-1.6917,-1.5939,-1.6869,-1.5904,-1.4904,-4.5823,-3.0927,-2.6904,-2.1904,-1.7882,-1.5882,-1.4882,-1.6846,-4.4859,-2.9788,-2.1859,-2.0904,-1.6882,-1.7834
1218,-4,-2.9,-2.6,-1.9,-1.7,-1.6,-1.7,-1.6,-1.5,-4.6,-3.1,-2.7,-2.2,-1.8,-1.6,-1.5,-1.7,-4.5,-3,-2.2,-2.1,-1.7,-1.8
