Frequency,CE-120-0,CE-120-1,CE-120-2,CE-120-3,CE-120-4,CE-120-5,CE-120-6,CE-120-7,CE-120-8,CE-120-9,CE-120-10,CE-120-11,CE-120-12,CE-120-13,CE-120-14,CE-120-15,CE-120-16,CE-120-17,CE-120-18,CE-120-19,CE-120-20,CS-120-1,CS-120-2,CS-120-3,CS-120-4,CS-120-5,CS-120-6,CS-120-7,CS-120-8,CS-120-9,CS-120-10,LEQ1218-0,LEQ1218-1,LEQ1218-2,LEQ1218-3,LEQ1218-4,LEQ1218-5,LEQ1218-6,LEQ1218-7,LEQ1218-8,LEQ1218-9,LEQ1218-10,LEQ1218-11,LEQ1218-12,LEQ1218-13,LEQ1218-14,LEQ1218-15,LEQ1218-16,LEQ1218-17,LEQ1218-18,LEQ1218-19,LEQ1218-20
829.25,0,-0.93255,-1.1608,-1.471,-1.7039,-1.9302,-2.1671,-2.3996,-2.6242,-2.9389,-3.1714,-3.404,-3.6296,-3.8667,-4.0992,-4.4017,-4.6387,-4.8712,-5.0966,-5.3292,-5.5663,-1.4675,-2.2392,-2.929,-3.6961,-4.4698,-5.2329,-6.0004,-6.7758,-7.4611,-8.2286,0,-0.933977663,-1.267955326,-1.60193299,-1.935910653,-2.269888316,-2.603865979,-2.937843643,-3.271821306,-3.605798969,-3.939776632,-4.273754296,-4.607731959,-4.941709622,-5.275687285,-5.609664948,-5.943642612,-6.277620275,-6.611597938,-6.945575601,-7.279553265
835.25,0,-0.92771,-1.1501,-1.4612,-1.6893,-1.9109,-2.142,-2.3696,-2.5896,-2.904,-3.1318,-3.3595,-3.5804,-3.8116,-4.0393,-4.3427,-4.5739,-4.8016,-5.0223,-5.25,-5.4813,-1.4723,-2.2499,-2.9388,-3.7107,-4.4891,-5.258,-6.0304,-6.8104,-7.496,-8.2682,0,-0.928823024,-1.257646048,-1.586469072,-1.915292096,-2.24411512,-2.572938144,-2.901761168,-3.230584192,-3.559407216,-3.888230241,-4.217053265,-4.545876289,-4.874699313,-5.203522337,-5.532345361,-5.861168385,-6.189991409,-6.518814433,-6.847637457,-7.176460481
841.25,0,-0.9229,-1.1399,-1.4513,-1.6746,-1.8916,-2.117,-2.3399,-2.5554,-2.8691,-3.092,-3.3149,-3.5314,-3.7568,-3.9797,-4.2837,-4.5091,-4.732,-4.9483,-5.1712,-5.3967,-1.4771,-2.2601,-2.9487,-3.7254,-4.5084,-5.283,-6.0601,-6.8446,-7.5309,-8.308,0,-0.923668385,-1.24733677,-1.571005155,-1.89467354,-2.218341924,-2.542010309,-2.865678694,-3.189347079,-3.513015464,-3.836683849,-4.160352234,-4.484020619,-4.807689003,-5.131357388,-5.455025773,-5.778694158,-6.102362543,-6.426030928,-6.749699313,-7.073367698
847.25,0,-0.9181,-1.1302,-1.4411,-1.6596,-1.8724,-2.0922,-2.3102,-2.5217,-2.8341,-3.0522,-3.2703,-3.4826,-3.7024,-3.9205,-4.2247,-4.4445,-4.6626,-4.8747,-5.0928,-5.3127,-1.4819,-2.2698,-2.9589,-3.7404,-4.5276,-5.3078,-6.0898,-6.8783,-7.5659,-8.3478,0,-0.918513746,-1.237027491,-1.555541237,-1.874054983,-2.192568729,-2.511082474,-2.82959622,-3.148109966,-3.466623711,-3.785137457,-4.103651203,-4.422164948,-4.740678694,-5.05919244,-5.377706186,-5.696219931,-6.014733677,-6.333247423,-6.651761168,-6.970274914
853.25,0,-0.91332,-1.1211,-1.4307,-1.6443,-1.8533,-2.0675,-2.2808,-2.4887,-2.7989,-3.0122,-3.2256,-3.4341,-3.6484,-3.8617,-4.1656,-4.3799,-4.5932,-4.8016,-5.0149,-5.2292,-1.4867,-2.2789,-2.9693,-3.7557,-4.5467,-5.3325,-6.1192,-6.9113,-7.6011,-8.3878,0,-0.913359107,-1.226718213,-1.54007732,-1.853436426,-2.166795533,-2.480154639,-2.793513746,-3.106872852,-3.420231959,-3.733591065,-4.046950172,-4.360309278,-4.673668385,-4.987027491,-5.300386598,-5.613745704,-5.927104811,-6.240463918,-6.553823024,-6.867182131
859.25,0,-0.90854,-1.1128,-1.42,-1.6288,-1.8342,-2.0431,-2.2517,-2.4563,-2.7636,-2.9722,-3.1807,-3.3858,-3.5948,-3.8033,-4.1064,-4.3154,-4.5239,-4.7289,-4.9375,-5.1464,-1.4915,-2.2872,-2.98,-3.7712,-4.5658,-5.3569,-6.1483,-6.9437,-7.6364,-8.4278,0,-0.908204467,-1.216408935,-1.524613402,-1.832817869,-2.141022337,-2.449226804,-2.757431271,-3.065635739,-3.373840206,-3.682044674,-3.990249141,-4.298453608,-4.606658076,-4.914862543,-5.22306701,-5.531271478,-5.839475945,-6.147680412,-6.45588488,-6.764089347
860,0,-0.90795,-1.1118,-1.4187,-1.6268,-1.8318,-2.0401,-2.248,-2.4523,-2.7592,-2.9672,-3.1751,-3.3798,-3.5881,-3.7961,-4.099,-4.3073,-4.5153,-4.7199,-4.9278,-5.1361,-1.4921,-2.2882,-2.9813,-3.7732,-4.5682,-5.3599,-6.152,-6.9477,-7.6408,-8.4328,0,-0.907560137,-1.215120275,-1.522680412,-1.83024055,-2.137800687,-2.445360825,-2.752920962,-3.0604811,-3.368041237,-3.675601375,-3.983161512,-4.290721649,-4.598281787,-4.905841924,-5.213402062,-5.520962199,-5.828522337,-6.136082474,-6.443642612,-6.751202749
865.25,0,-0.90377,-1.1053,-1.409,-1.6129,-1.8151,-2.019,-2.2227,-2.4246,-2.7282,-2.932,-3.1357,-3.3378,-3.5417,-3.7454,-4.0471,-4.2509,-4.4547,-4.6568,-4.8605,-5.0644,-1.4962,-2.2947,-2.991,-3.7871,-4.5849,-5.381,-6.1773,-6.9754,-7.6718,-8.468,0,-0.903049828,-1.206099656,-1.509149485,-1.812199313,-2.115249141,-2.418298969,-2.721348797,-3.024398625,-3.327448454,-3.630498282,-3.93354811,-4.236597938,-4.539647766,-4.842697595,-5.145747423,-5.448797251,-5.751847079,-6.054896907,-6.357946735,-6.660996564
870,0,-0.9,-1.1,-1.4,-1.6,-1.8,-2,-2.2,-2.4,-2.7,-2.9,-3.1,-3.3,-3.5,-3.7,-4,-4.2,-4.4,-4.6,-4.8,-5,-1.5,-2.3,-3,-3.8,-4.6,-5.4,-6.2,-7,-7.7,-8.5,0,-0.898969072,-1.197938144,-1.496907216,-1.795876289,-2.094845361,-2.393814433,-2.692783505,-2.991752577,-3.290721649,-3.589690722,-3.888659794,-4.187628866,-4.486597938,-4.78556701,-5.084536082,-5.383505155,-5.682474227,-5.981443299,-6.280412371,-6.579381443
871.25,0,-0.899,-1.0987,-1.3976,-1.5966,-1.796,-1.995,-2.194,-2.3936,-2.6926,-2.8916,-3.0906,-3.2901,-3.4891,-3.6881,-3.9876,-4.1866,-4.3856,-4.5851,-4.7841,-4.9831,-1.501,-2.3013,-3.0024,-3.8034,-4.604,-5.405,-6.206,-7.0064,-7.7074,-8.5084,0,-0.897895189,-1.195790378,-1.493685567,-1.791580756,-2.089475945,-2.387371134,-2.685266323,-2.983161512,-3.281056701,-3.57895189,-3.876847079,-4.174742268,-4.472637457,-4.770532646,-5.068427835,-5.366323024,-5.664218213,-5.962113402,-6.260008591,-6.55790378
