Frequency,CE-120-0,CE-120-1,CE-120-2,CE-120-3,CE-120-4,CE-120-5,CE-120-6,CE-120-7,CE-120-8,CE-120-9,CE-120-10,CE-120-11,CE-120-12,CE-120-13,CE-120-14,CE-120-15,CE-120-16,CE-120-17,CE-120-18,CE-120-19,CE-120-20,CS-120-1,CS-120-2,CS-120-3,CS-120-4,CS-120-5,CS-120-6,CS-120-7,CS-120-8,CS-120-9,CS-120-10,LEQ1218-0,LEQ1218-1,LEQ1218-2,LEQ1218-3,LEQ1218-4,LEQ1218-5,LEQ1218-6,LEQ1218-7,LEQ1218-8,LEQ1218-9,LEQ1218-10,LEQ1218-11,LEQ1218-12,LEQ1218-13,LEQ1218-14,LEQ1218-15,LEQ1218-16,LEQ1218-17,LEQ1218-18,LEQ1218-19,LEQ1218-20
937.25,0,-0.83573,-1.0506,-1.2507,-1.3907,-1.5941,-1.7448,-1.8865,-2.0897,-2.2949,-2.4363,-2.5771,-2.7896,-2.9315,-3.0729,-3.3304,-3.4813,-3.6226,-3.8257,-3.9764,-4.1181,-1.5643,-2.3494,-3.1493,-4.0093,-4.8059,-5.6552,-6.5135,-7.3103,-8.1051,-8.9637,0,-0.841194158,-1.082388316,-1.323582474,-1.564776632,-1.80597079,-2.047164948,-2.288359107,-2.529553265,-2.770747423,-3.011941581,-3.253135739,-3.494329897,-3.735524055,-3.976718213,-4.217912371,-4.459106529,-4.700300687,-4.941494845,-5.182689003,-5.423883162
943.25,0,-0.83027,-1.047,-1.2364,-1.3712,-1.5762,-1.7226,-1.8592,-2.0637,-2.2584,-2.3948,-2.5305,-2.7451,-2.8821,-3.0185,-3.271,-3.4176,-3.5538,-3.7583,-3.9048,-4.0414,-1.5697,-2.353,-3.1636,-4.0288,-4.8238,-5.6774,-6.5408,-7.3363,-8.1416,-9.0052,0,-0.836039519,-1.072079038,-1.308118557,-1.544158076,-1.780197595,-2.016237113,-2.252276632,-2.488316151,-2.72435567,-2.960395189,-3.196434708,-3.432474227,-3.668513746,-3.904553265,-4.140592784,-4.376632302,-4.612671821,-4.84871134,-5.084750859,-5.320790378
949.25,0,-0.82509,-1.0434,-1.2219,-1.3519,-1.5583,-1.7003,-1.8321,-2.0378,-2.2218,-2.3533,-2.4842,-2.7006,-2.8328,-2.9643,-3.2117,-3.3539,-3.4854,-3.6911,-3.8332,-3.965,-1.5749,-2.3566,-3.1781,-4.0481,-4.8417,-5.6997,-6.5679,-7.3622,-8.1782,-9.0467,0,-0.83088488,-1.061769759,-1.292654639,-1.523539519,-1.754424399,-1.985309278,-2.216194158,-2.447079038,-2.677963918,-2.908848797,-3.139733677,-3.370618557,-3.601503436,-3.832388316,-4.063273196,-4.294158076,-4.525042955,-4.755927835,-4.986812715,-5.217697595
955.25,0,-0.82025,-1.0396,-1.2075,-1.3328,-1.5404,-1.678,-1.8052,-2.0117,-2.1852,-2.3121,-2.4382,-2.656,-2.7835,-2.9103,-3.1526,-3.2904,-3.4172,-3.6239,-3.7617,-3.8888,-1.5797,-2.3604,-3.1925,-4.0672,-4.8596,-5.722,-6.5948,-7.3883,-8.2148,-9.0879,0,-0.825730241,-1.051460481,-1.277190722,-1.502920962,-1.728651203,-1.954381443,-2.180111684,-2.405841924,-2.631572165,-2.857302405,-3.083032646,-3.308762887,-3.534493127,-3.760223368,-3.985953608,-4.211683849,-4.437414089,-4.66314433,-4.88887457,-5.114604811
961.25,0,-0.8158,-1.0356,-1.1932,-1.3141,-1.5225,-1.6557,-1.7783,-1.9856,-2.1486,-2.271,-2.3927,-2.6113,-2.7343,-2.8567,-3.0936,-3.227,-3.3493,-3.5569,-3.6901,-3.8128,-1.5842,-2.3644,-3.2068,-4.0859,-4.8775,-5.7443,-6.6217,-7.4144,-8.2514,-9.129,0,-0.820575601,-1.041151203,-1.261726804,-1.482302405,-1.702878007,-1.923453608,-2.14402921,-2.364604811,-2.585180412,-2.805756014,-3.026331615,-3.246907216,-3.467482818,-3.688058419,-3.908634021,-4.129209622,-4.349785223,-4.570360825,-4.790936426,-5.011512027
967.25,0,-0.81179,-1.0314,-1.179,-1.2957,-1.5046,-1.6332,-1.7516,-1.9593,-2.112,-2.2302,-2.3477,-2.5664,-2.6852,-2.8033,-3.0349,-3.1637,-3.2818,-3.4898,-3.6185,-3.7369,-1.5882,-2.3686,-3.221,-4.1043,-4.8954,-5.7668,-6.6484,-7.4407,-8.288,-9.1698,0,-0.815420962,-1.030841924,-1.246262887,-1.461683849,-1.677104811,-1.892525773,-2.107946735,-2.323367698,-2.53878866,-2.754209622,-2.969630584,-3.185051546,-3.400472509,-3.615893471,-3.831314433,-4.046735395,-4.262156357,-4.47757732,-4.692998282,-4.908419244
973.25,0,-0.80827,-1.0269,-1.1648,-1.2778,-1.4867,-1.6106,-1.7251,-1.9327,-2.0754,-2.1897,-2.3032,-2.5212,-2.636,-2.7502,-2.9764,-3.1006,-3.2147,-3.4227,-3.5467,-3.6612,-1.5917,-2.3731,-3.2352,-4.1222,-4.9133,-5.7894,-6.6749,-7.4673,-8.3246,-9.2103,0,-0.810266323,-1.020532646,-1.230798969,-1.441065292,-1.651331615,-1.861597938,-2.071864261,-2.282130584,-2.492396907,-2.70266323,-2.912929553,-3.123195876,-3.333462199,-3.543728522,-3.753994845,-3.964261168,-4.174527491,-4.384793814,-4.595060137,-4.80532646
979.25,0,-0.80531,-1.0221,-1.1509,-1.2603,-1.4687,-1.5879,-1.6987,-1.9058,-2.0388,-2.1494,-2.2594,-2.4758,-2.5869,-2.6974,-2.9182,-3.0376,-3.1481,-3.3556,-3.4749,-3.5857,-1.5947,-2.3779,-3.2491,-4.1397,-4.9313,-5.8121,-6.7013,-7.4942,-8.3612,-9.2506,0,-0.805111684,-1.010223368,-1.215335052,-1.420446735,-1.625558419,-1.830670103,-2.035781787,-2.240893471,-2.446005155,-2.651116838,-2.856228522,-3.061340206,-3.26645189,-3.471563574,-3.676675258,-3.881786942,-4.086898625,-4.292010309,-4.497121993,-4.702233677
985.25,0,-0.80295,-1.0169,-1.1371,-1.2435,-1.4507,-1.565,-1.6725,-1.8786,-2.0021,-2.1095,-2.2163,-2.43,-2.5377,-2.6449,-2.8602,-2.9747,-3.0819,-3.2884,-3.4028,-3.5102,-1.5971,-2.3831,-3.2629,-4.1565,-4.9493,-5.835,-6.7275,-7.5214,-8.3979,-9.2905,0,-0.799957045,-0.999914089,-1.199871134,-1.399828179,-1.599785223,-1.799742268,-1.999699313,-2.199656357,-2.399613402,-2.599570447,-2.799527491,-2.999484536,-3.199441581,-3.399398625,-3.59935567,-3.799312715,-3.999269759,-4.199226804,-4.399183849,-4.599140893
991.25,0,-0.80124,-1.0113,-1.1236,-1.2272,-1.4326,-1.5419,-1.6464,-1.8509,-1.9655,-2.0699,-2.1739,-2.3838,-2.4884,-2.5927,-2.8025,-2.912,-3.0162,-3.2211,-3.3304,-3.4349,-1.5988,-2.3887,-3.2764,-4.1728,-4.9674,-5.8581,-6.7536,-7.5491,-8.4345,-9.3301,0,-0.794802405,-0.989604811,-1.184407216,-1.379209622,-1.574012027,-1.768814433,-1.963616838,-2.158419244,-2.353221649,-2.548024055,-2.74282646,-2.937628866,-3.132431271,-3.327233677,-3.522036082,-3.716838488,-3.911640893,-4.106443299,-4.301245704,-4.49604811
997.25,0,-0.80025,-1.0052,-1.1103,-1.2117,-1.4144,-1.5186,-1.6204,-1.8227,-1.9289,-2.0307,-2.1323,-2.3372,-2.4391,-2.5409,-2.7452,-2.8494,-2.9511,-3.1536,-3.2578,-3.3596,-1.5998,-2.3948,-3.2897,-4.1883,-4.9856,-5.8814,-6.7796,-7.5773,-8.4711,-9.3693,0,-0.789647766,-0.979295533,-1.168943299,-1.358591065,-1.548238832,-1.737886598,-1.927534364,-2.117182131,-2.306829897,-2.496477663,-2.68612543,-2.875773196,-3.065420962,-3.255068729,-3.444716495,-3.634364261,-3.824012027,-4.013659794,-4.20330756,-4.392955326
1000,0,-0.80004,-1.0022,-1.1043,-1.2049,-1.4061,-1.5079,-1.6086,-1.8096,-1.9122,-2.0129,-2.1135,-2.3157,-2.4165,-2.5172,-2.719,-2.8208,-2.9215,-3.1226,-3.2244,-3.3251,-1.6,-2.3978,-3.2957,-4.1951,-4.9939,-5.8921,-6.7914,-7.5904,-8.4878,-9.3871,0,-0.787285223,-0.974570447,-1.16185567,-1.349140893,-1.536426117,-1.72371134,-1.910996564,-2.098281787,-2.28556701,-2.472852234,-2.660137457,-2.84742268,-3.034707904,-3.221993127,-3.409278351,-3.596563574,-3.783848797,-3.971134021,-4.158419244,-4.345704467
1003.25,0,-0.8,-0.99854,-1.0973,-1.197,-1.3962,-1.4951,-1.5946,-1.794,-1.8924,-1.992,-2.0916,-2.2901,-2.3897,-2.4893,-2.6882,-2.787,-2.8866,-3.0859,-3.1848,-3.2843,-1.6,-2.4015,-3.3027,-4.203,-5.0038,-5.9049,-6.8054,-7.606,-8.5076,-9.408,0,-0.784493127,-0.968986254,-1.153479381,-1.337972509,-1.522465636,-1.706958763,-1.89145189,-2.075945017,-2.260438144,-2.444931271,-2.629424399,-2.813917526,-2.998410653,-3.18290378,-3.367396907,-3.551890034,-3.736383162,-3.920876289,-4.105369416,-4.289862543
1009.25,0,-0.8,-0.99045,-1.0845,-1.183,-1.378,-1.4711,-1.5692,-1.7648,-1.8555,-1.9536,-2.0519,-2.2423,-2.3402,-2.4383,-2.6316,-2.7246,-2.8228,-3.0182,-3.1113,-3.2093,-1.6,-2.4095,-3.3155,-4.217,-5.022,-5.9289,-6.8308,-7.6352,-8.5445,-9.4464,0,-0.779338488,-0.958676976,-1.138015464,-1.317353952,-1.49669244,-1.676030928,-1.855369416,-2.034707904,-2.214046392,-2.39338488,-2.572723368,-2.752061856,-2.931400344,-3.110738832,-3.29007732,-3.469415808,-3.648754296,-3.828092784,-4.007431271,-4.186769759
1015.25,0,-0.8,-0.9807,-1.0716,-1.1696,-1.3598,-1.4468,-1.544,-1.7352,-1.8183,-1.9156,-2.0133,-2.1936,-2.2906,-2.3879,-2.5754,-2.6622,-2.7596,-2.9505,-3.0374,-3.1346,-1.6,-2.4193,-3.3284,-4.2304,-5.0402,-5.9532,-6.856,-7.6648,-8.5817,-9.4844,0,-0.774183849,-0.948367698,-1.122551546,-1.296735395,-1.470919244,-1.645103093,-1.819286942,-1.99347079,-2.167654639,-2.341838488,-2.516022337,-2.690206186,-2.864390034,-3.038573883,-3.212757732,-3.386941581,-3.56112543,-3.735309278,-3.909493127,-4.083676976
1021.25,0,-0.8,-0.96951,-1.0589,-1.1567,-1.3417,-1.4221,-1.5191,-1.7052,-1.7808,-1.878,-1.9754,-2.1442,-2.241,-2.3381,-2.5196,-2.5999,-2.6971,-2.8828,-2.9631,-3.0601,-1.6,-2.4305,-3.3411,-4.2433,-5.0583,-5.9779,-6.8809,-7.6948,-8.6192,-9.522,0,-0.76902921,-0.938058419,-1.107087629,-1.276116838,-1.445146048,-1.614175258,-1.783204467,-1.952233677,-2.121262887,-2.290292096,-2.459321306,-2.628350515,-2.797379725,-2.966408935,-3.135438144,-3.304467354,-3.473496564,-3.642525773,-3.811554983,-3.980584192
1027.25,0,-0.8,-0.95714,-1.0461,-1.1443,-1.3236,-1.3972,-1.4944,-1.675,-1.7432,-1.8406,-1.9383,-2.0944,-2.1915,-2.2888,-2.4642,-2.5376,-2.635,-2.8152,-2.8886,-2.9858,-1.6,-2.4429,-3.3539,-4.2557,-5.0764,-6.0028,-6.9056,-7.725,-8.6568,-9.5594,0,-0.76387457,-0.927749141,-1.091623711,-1.255498282,-1.419372852,-1.583247423,-1.747121993,-1.910996564,-2.074871134,-2.238745704,-2.402620275,-2.566494845,-2.730369416,-2.894243986,-3.058118557,-3.221993127,-3.385867698,-3.549742268,-3.713616838,-3.877491409
1033.25,0,-0.8,-0.9438,-1.0335,-1.1323,-1.3056,-1.3721,-1.4699,-1.6446,-1.7054,-1.8035,-1.9018,-2.0441,-2.1419,-2.2399,-2.409,-2.4754,-2.5735,-2.7476,-2.8139,-2.9118,-1.6,-2.4562,-3.3665,-4.2677,-5.0944,-6.0279,-6.9301,-7.7554,-8.6946,-9.5965,0,-0.758719931,-0.917439863,-1.076159794,-1.234879725,-1.393599656,-1.552319588,-1.711039519,-1.86975945,-2.028479381,-2.187199313,-2.345919244,-2.504639175,-2.663359107,-2.822079038,-2.980798969,-3.1395189,-3.298238832,-3.456958763,-3.615678694,-3.774398625
1039.25,0,-0.8,-0.92974,-1.0209,-1.1205,-1.2875,-1.3468,-1.4456,-1.6139,-1.6675,-1.7666,-1.8658,-1.9936,-2.0924,-2.1913,-2.3541,-2.4133,-2.5123,-2.6801,-2.7392,-2.838,-1.6,-2.4703,-3.3791,-4.2795,-5.1125,-6.0532,-6.9544,-7.7861,-8.7325,-9.6334,0,-0.753565292,-0.907130584,-1.060695876,-1.214261168,-1.36782646,-1.521391753,-1.674957045,-1.828522337,-1.982087629,-2.135652921,-2.289218213,-2.442783505,-2.596348797,-2.749914089,-2.903479381,-3.057044674,-3.210609966,-3.364175258,-3.51774055,-3.671305842
1045.25,0,-0.8,-0.9152,-1.0084,-1.109,-1.2694,-1.3215,-1.4214,-1.583,-1.6297,-1.73,-1.8301,-1.943,-2.043,-2.1429,-2.2994,-2.3514,-2.4515,-2.6126,-2.6645,-2.7644,-1.6,-2.4848,-3.3916,-4.291,-5.1306,-6.0785,-6.9786,-7.817,-8.7703,-9.67,0,-0.748410653,-0.896821306,-1.045231959,-1.193642612,-1.342053265,-1.490463918,-1.63887457,-1.787285223,-1.935695876,-2.084106529,-2.232517182,-2.380927835,-2.529338488,-2.677749141,-2.826159794,-2.974570447,-3.1229811,-3.271391753,-3.419802405,-3.568213058
1051.25,0,-0.8,-0.90039,-0.99596,-1.0976,-1.2513,-1.2962,-1.3974,-1.552,-1.592,-1.6935,-1.7947,-1.8925,-1.9937,-2.0947,-2.2448,-2.2897,-2.3909,-2.5451,-2.5899,-2.6911,-1.6,-2.4996,-3.404,-4.3024,-5.1487,-6.1038,-7.0026,-7.848,-8.808,-9.7065,0,-0.743256014,-0.886512027,-1.029768041,-1.173024055,-1.316280069,-1.459536082,-1.602792096,-1.74604811,-1.889304124,-2.032560137,-2.175816151,-2.319072165,-2.462328179,-2.605584192,-2.748840206,-2.89209622,-3.035352234,-3.178608247,-3.321864261,-3.465120275
1057.25,0,-0.8,-0.88557,-0.98366,-1.0862,-1.2331,-1.271,-1.3733,-1.5209,-1.5546,-1.6572,-1.7594,-1.842,-1.9445,-2.0466,-2.1903,-2.2282,-2.3305,-2.4778,-2.5156,-2.6178,-1.6,-2.5144,-3.4163,-4.3138,-5.1669,-6.129,-7.0267,-7.8791,-8.8454,-9.7428,0,-0.738101375,-0.876202749,-1.014304124,-1.152405498,-1.290506873,-1.428608247,-1.566709622,-1.704810997,-1.842912371,-1.981013746,-2.11911512,-2.257216495,-2.395317869,-2.533419244,-2.671520619,-2.809621993,-2.947723368,-3.085824742,-3.223926117,-3.362027491
1063.25,0,-0.8,-0.87096,-0.97147,-1.0749,-1.2148,-1.246,-1.3493,-1.4898,-1.5173,-1.621,-1.724,-1.792,-1.8955,-1.9985,-2.1358,-2.167,-2.2703,-2.4105,-2.4415,-2.5448,-1.6,-2.529,-3.4285,-4.3251,-5.1852,-6.154,-7.0507,-7.9102,-8.8827,-9.779,0,-0.732946735,-0.865893471,-0.998840206,-1.131786942,-1.264733677,-1.397680412,-1.530627148,-1.663573883,-1.796520619,-1.929467354,-2.062414089,-2.195360825,-2.32830756,-2.461254296,-2.594201031,-2.727147766,-2.860094502,-2.993041237,-3.125987973,-3.258934708
1069.25,0,-0.8,-0.8568,-0.95941,-1.0634,-1.1964,-1.2212,-1.3252,-1.4586,-1.4805,-1.5848,-1.6886,-1.7423,-1.8466,-1.9504,-2.0813,-2.1061,-2.2101,-2.3432,-2.3678,-2.4719,-1.6,-2.5432,-3.4406,-4.3366,-5.2036,-6.1788,-7.0748,-7.9414,-8.9195,-9.8152,0,-0.727792096,-0.855584192,-0.983376289,-1.111168385,-1.238960481,-1.366752577,-1.494544674,-1.62233677,-1.750128866,-1.877920962,-2.005713058,-2.133505155,-2.261297251,-2.389089347,-2.516881443,-2.64467354,-2.772465636,-2.900257732,-3.028049828,-3.155841924
1075.25,0,-0.8,-0.84332,-0.94748,-1.0517,-1.1779,-1.1966,-1.3011,-1.4275,-1.4441,-1.5488,-1.6528,-1.6932,-1.7979,-1.9021,-2.0268,-2.0455,-2.1499,-2.2761,-2.2947,-2.3991,-1.6,-2.5567,-3.4525,-4.3483,-5.2221,-6.2034,-7.0989,-7.9725,-8.9559,-9.8512,0,-0.722637457,-0.845274914,-0.967912371,-1.090549828,-1.213187285,-1.335824742,-1.458462199,-1.581099656,-1.703737113,-1.82637457,-1.949012027,-2.071649485,-2.194286942,-2.316924399,-2.439561856,-2.562199313,-2.68483677,-2.807474227,-2.930111684,-3.052749141
1081.25,0,-0.8,-0.83076,-0.93571,-1.0398,-1.1593,-1.1724,-1.2768,-1.3964,-1.4081,-1.5127,-1.6167,-1.6449,-1.7495,-1.8537,-1.9721,-1.9853,-2.0896,-2.209,-2.2221,-2.3264,-1.6,-2.5692,-3.4643,-4.3602,-5.2407,-6.2276,-7.1232,-8.0036,-8.9919,-9.8873,0,-0.717482818,-0.834965636,-0.952448454,-1.069931271,-1.187414089,-1.304896907,-1.422379725,-1.539862543,-1.657345361,-1.774828179,-1.892310997,-2.009793814,-2.127276632,-2.24475945,-2.362242268,-2.479725086,-2.597207904,-2.714690722,-2.83217354,-2.949656357
1087.25,0,-0.8,-0.81935,-0.9241,-1.0276,-1.1405,-1.1487,-1.2525,-1.3654,-1.3728,-1.4767,-1.5801,-1.5974,-1.7014,-1.8049,-1.9173,-1.9255,-2.0292,-2.142,-2.1502,-2.2539,-1.6,-2.5807,-3.4759,-4.3724,-5.2595,-6.2513,-7.1475,-8.0346,-9.0272,-9.9233,0,-0.712328179,-0.824656357,-0.936984536,-1.049312715,-1.161640893,-1.273969072,-1.386297251,-1.49862543,-1.610953608,-1.723281787,-1.835609966,-1.947938144,-2.060266323,-2.172594502,-2.28492268,-2.397250859,-2.509579038,-2.621907216,-2.734235395,-2.846563574
1093.25,0,-0.8,-0.80933,-0.91266,-1.0149,-1.1216,-1.1255,-1.2279,-1.3345,-1.3381,-1.4406,-1.5428,-1.5509,-1.6535,-1.7558,-1.8622,-1.8662,-1.9686,-2.0751,-2.079,-2.1814,-1.6,-2.5907,-3.4873,-4.3851,-5.2784,-6.2745,-7.1721,-8.0655,-9.0619,-9.9594,0,-0.70717354,-0.814347079,-0.921520619,-1.028694158,-1.135867698,-1.243041237,-1.350214777,-1.457388316,-1.564561856,-1.671735395,-1.778908935,-1.886082474,-1.993256014,-2.100429553,-2.207603093,-2.314776632,-2.421950172,-2.529123711,-2.636297251,-2.74347079
1099.25,0,-0.8,-0.80092,-0.90139,-1.0017,-1.1024,-1.1028,-1.2031,-1.3038,-1.3042,-1.4045,-1.5048,-1.5056,-1.6059,-1.7062,-1.8069,-1.8073,-1.9076,-2.0083,-2.0087,-2.109,-1.6,-2.5991,-3.4986,-4.3983,-5.2976,-6.2972,-7.1969,-8.0962,-9.0958,-9.9955,0,-0.7020189,-0.804037801,-0.906056701,-1.008075601,-1.110094502,-1.212113402,-1.314132302,-1.416151203,-1.518170103,-1.620189003,-1.722207904,-1.824226804,-1.926245704,-2.028264605,-2.130283505,-2.232302405,-2.334321306,-2.436340206,-2.538359107,-2.640378007
1105.25,0,-0.79972,-0.79365,-0.89028,-0.98808,-1.0831,-1.0806,-1.1782,-1.2733,-1.2708,-1.3684,-1.4662,-1.4611,-1.5586,-1.6563,-1.7514,-1.7489,-1.8465,-1.9416,-1.9391,-2.0367,-1.6003,-2.6063,-3.5097,-4.4119,-5.3169,-6.3194,-7.2218,-8.1267,-9.1292,-10.032,0,-0.696864261,-0.793728522,-0.890592784,-0.987457045,-1.084321306,-1.181185567,-1.278049828,-1.374914089,-1.471778351,-1.568642612,-1.665506873,-1.762371134,-1.859235395,-1.956099656,-2.052963918,-2.149828179,-2.24669244,-2.343556701,-2.440420962,-2.537285223
1111.25,0,-0.79872,-0.78647,-0.87926,-0.9743,-1.0637,-1.0585,-1.1532,-1.2427,-1.2378,-1.3323,-1.4273,-1.417,-1.5115,-1.6063,-1.6959,-1.6907,-1.7854,-1.875,-1.8699,-1.9645,-1.6013,-2.6135,-3.5207,-4.4257,-5.3363,-6.3415,-7.2468,-8.1573,-9.1622,-10.068,0,-0.691709622,-0.783419244,-0.875128866,-0.966838488,-1.05854811,-1.150257732,-1.241967354,-1.333676976,-1.425386598,-1.51709622,-1.608805842,-1.700515464,-1.792225086,-1.883934708,-1.97564433,-2.067353952,-2.159063574,-2.250773196,-2.342482818,-2.43419244
1117.25,0,-0.79704,-0.77938,-0.86832,-0.96033,-1.0441,-1.0366,-1.1281,-1.2122,-1.2049,-1.2962,-1.3883,-1.3733,-1.4644,-1.5562,-1.6403,-1.6327,-1.7243,-1.8084,-1.801,-1.8925,-1.603,-2.6206,-3.5317,-4.4397,-5.3559,-6.3634,-7.2719,-8.1878,-9.1951,-10.104,0,-0.686554983,-0.773109966,-0.859664948,-0.946219931,-1.032774914,-1.119329897,-1.20588488,-1.292439863,-1.378994845,-1.465549828,-1.552104811,-1.638659794,-1.725214777,-1.811769759,-1.898324742,-1.984879725,-2.071434708,-2.157989691,-2.244544674,-2.331099656
1123.25,0,-0.7947,-0.77242,-0.85747,-0.94618,-1.0245,-1.0149,-1.103,-1.1816,-1.1724,-1.2602,-1.349,-1.3299,-1.4176,-1.506,-1.5846,-1.575,-1.6632,-1.7418,-1.7324,-1.8205,-1.6053,-2.6276,-3.5425,-4.4538,-5.3755,-6.3851,-7.297,-8.2184,-9.2276,-10.14,0,-0.681400344,-0.762800687,-0.844201031,-0.925601375,-1.007001718,-1.088402062,-1.169802405,-1.251202749,-1.332603093,-1.414003436,-1.49540378,-1.576804124,-1.658204467,-1.739604811,-1.821005155,-1.902405498,-1.983805842,-2.065206186,-2.146606529,-2.228006873
1129.25,0,-0.79176,-0.76561,-0.84671,-0.93186,-1.0048,-0.99342,-1.0779,-1.1511,-1.1401,-1.2243,-1.3095,-1.2868,-1.3709,-1.4557,-1.5289,-1.5175,-1.6021,-1.6754,-1.6642,-1.7486,-1.6082,-2.6344,-3.5533,-4.4681,-5.3952,-6.4066,-7.3221,-8.2489,-9.2599,-10.176,0,-0.676245704,-0.752491409,-0.828737113,-0.904982818,-0.981228522,-1.057474227,-1.133719931,-1.209965636,-1.28621134,-1.362457045,-1.438702749,-1.514948454,-1.591194158,-1.667439863,-1.743685567,-1.819931271,-1.896176976,-1.97242268,-2.048668385,-2.124914089
1135.25,0,-0.78824,-0.75897,-0.83605,-0.91736,-0.98491,-0.97209,-1.0527,-1.1205,-1.1081,-1.1884,-1.2698,-1.2442,-1.3243,-1.4054,-1.4732,-1.4603,-1.5411,-1.609,-1.5963,-1.6769,-1.6118,-2.641,-3.564,-4.4826,-5.4151,-6.4279,-7.3473,-8.2795,-9.2919,-10.212,0,-0.671091065,-0.742182131,-0.813273196,-0.884364261,-0.955455326,-1.026546392,-1.097637457,-1.168728522,-1.239819588,-1.310910653,-1.382001718,-1.453092784,-1.524183849,-1.595274914,-1.666365979,-1.737457045,-1.80854811,-1.879639175,-1.950730241,-2.021821306
1141.25,0,-0.78417,-0.75255,-0.82548,-0.90269,-0.96495,-0.95096,-1.0274,-1.09,-1.0764,-1.1526,-1.2299,-1.2019,-1.278,-1.3549,-1.4174,-1.4034,-1.48,-1.5426,-1.5288,-1.6053,-1.6158,-2.6475,-3.5745,-4.4973,-5.435,-6.449,-7.3726,-8.31,-9.3236,-10.247,0,-0.665936426,-0.731872852,-0.797809278,-0.863745704,-0.929682131,-0.995618557,-1.061554983,-1.127491409,-1.193427835,-1.259364261,-1.325300687,-1.391237113,-1.45717354,-1.523109966,-1.589046392,-1.654982818,-1.720919244,-1.78685567,-1.852792096,-1.918728522
1147.25,0,-0.7796,-0.74635,-0.81502,-0.88784,-0.94489,-0.93003,-1.0021,-1.0595,-1.045,-1.1169,-1.1898,-1.1601,-1.2318,-1.3043,-1.3616,-1.3467,-1.419,-1.4764,-1.4616,-1.5338,-1.6204,-2.6536,-3.585,-4.5122,-5.4551,-6.47,-7.3979,-8.3405,-9.355,-10.283,0,-0.660781787,-0.721563574,-0.782345361,-0.843127148,-0.903908935,-0.964690722,-1.025472509,-1.086254296,-1.147036082,-1.207817869,-1.268599656,-1.329381443,-1.39016323,-1.450945017,-1.511726804,-1.572508591,-1.633290378,-1.694072165,-1.754853952,-1.815635739
1153.25,0,-0.77457,-0.74041,-0.80465,-0.87281,-0.92471,-0.90931,-0.9768,-1.029,-1.014,-1.0812,-1.1494,-1.1186,-1.1857,-1.2536,-1.3058,-1.2903,-1.3579,-1.4102,-1.3949,-1.4624,-1.6254,-2.6596,-3.5953,-4.5272,-5.4753,-6.4907,-7.4232,-8.371,-9.386,-10.319,0,-0.655627148,-0.711254296,-0.766881443,-0.822508591,-0.878135739,-0.933762887,-0.989390034,-1.045017182,-1.10064433,-1.156271478,-1.211898625,-1.267525773,-1.323152921,-1.378780069,-1.434407216,-1.490034364,-1.545661512,-1.60128866,-1.656915808,-1.712542955
1159.25,0,-0.76909,-0.73476,-0.79439,-0.85762,-0.90442,-0.88879,-0.9514,-0.99846,-0.98318,-1.0456,-1.1088,-1.0776,-1.1398,-1.2028,-1.2498,-1.2341,-1.2969,-1.344,-1.3285,-1.3911,-1.6309,-2.6652,-3.6056,-4.5424,-5.4956,-6.5112,-7.4486,-8.4015,-9.4168,-10.354,0,-0.650472509,-0.700945017,-0.751417526,-0.801890034,-0.852362543,-0.902835052,-0.95330756,-1.003780069,-1.054252577,-1.104725086,-1.155197595,-1.205670103,-1.256142612,-1.30661512,-1.357087629,-1.407560137,-1.458032646,-1.508505155,-1.558977663,-1.609450172
1165.25,0,-0.76322,-0.72942,-0.78424,-0.84226,-0.88403,-0.86849,-0.92595,-0.96795,-0.95273,-1.01,-1.0681,-1.037,-1.0941,-1.1519,-1.1939,-1.1783,-1.2359,-1.2779,-1.2625,-1.32,-1.6368,-2.6706,-3.6158,-4.5577,-5.516,-6.5315,-7.474,-8.432,-9.4473,-10.39,0,-0.645317869,-0.690635739,-0.735953608,-0.781271478,-0.826589347,-0.871907216,-0.917225086,-0.962542955,-1.007860825,-1.053178694,-1.098496564,-1.143814433,-1.189132302,-1.234450172,-1.279768041,-1.325085911,-1.37040378,-1.415721649,-1.461039519,-1.506357388
1171.25,0,-0.75699,-0.72442,-0.7742,-0.82672,-0.86352,-0.8484,-0.90046,-0.93745,-0.92261,-0.97448,-1.027,-0.99681,-1.0486,-1.1009,-1.1379,-1.1227,-1.1749,-1.2119,-1.1969,-1.249,-1.643,-2.6756,-3.6258,-4.5733,-5.5365,-6.5516,-7.4995,-8.4625,-9.4774,-10.426,0,-0.64016323,-0.68032646,-0.720489691,-0.760652921,-0.800816151,-0.840979381,-0.881142612,-0.921305842,-0.961469072,-1.001632302,-1.041795533,-1.081958763,-1.122121993,-1.162285223,-1.202448454,-1.242611684,-1.282774914,-1.322938144,-1.363101375,-1.403264605
