Frequency,MB120,BLE120,FMT902,FMB902,FM332,MB120_Triple
1000,44.8792,36.6871,33.18761478,43.94277388,36.15497388,43.65007388
1003.25,44.913,36.708,33.23120687,43.99053436,36.18293436,43.68593436
1009.25,44.9754,36.7464,33.31136151,44.07870756,36.23410756,43.75140756
1015.25,45.0378,36.7844,33.39121615,44.16688076,36.28508076,43.81578076
1021.25,45.1001,36.822,33.47087079,44.25495395,36.33575395,43.87945395
1027.25,45.1624,36.8594,33.55032543,44.34302715,36.38622715,43.94232715
1033.25,45.2246,36.8965,33.62948007,44.43100034,36.43650034,44.00460034
1039.25,45.2867,36.9334,33.70843471,44.51887354,36.48657354,44.06637354
1045.25,45.3486,36.97,33.78718935,44.60654674,36.53654674,44.12784674
1051.25,45.4103,37.0065,33.86564399,44.69401993,36.58631993,44.18901993
1057.25,45.4718,37.0428,33.94409863,44.78129313,36.63619313,44.25009313
1063.25,45.533,37.079,34.02225326,44.86826632,36.68596632,44.31126632
1069.25,45.5939,37.1152,34.1003079,44.95493952,36.73583952,44.37243952
1075.25,45.6545,37.1512,34.17826254,45.04131271,36.78571271,44.43401271
1081.25,45.7147,37.1873,34.25611718,45.12728591,36.83578591,44.49588591
1087.25,45.7745,37.2233,34.33377182,45.21285911,36.88585911,44.55825911
1093.25,45.8338,37.2594,34.41142646,45.2979323,36.9362323,44.6213323
1099.25,45.8927,37.2955,34.4889811,45.3826055,36.9868055,44.6851055
1105.25,45.9511,37.3316,34.56643574,45.46677869,37.03747869,44.74947869
1111.25,46.0093,37.3677,34.64379038,45.55075189,37.08825189,44.81415189
1117.25,46.0673,37.4038,34.72094502,45.63452509,37.13912509,44.87892509
1123.25,46.125,37.4398,34.79809966,45.71799828,37.18999828,44.94399828
1129.25,46.1825,37.4757,34.8751543,45.80127148,37.24087148,45.00927148
1135.25,46.2397,37.5116,34.95200893,45.88424467,37.29184467,45.07474467
1141.25,46.2966,37.5474,35.02876357,45.96691787,37.34291787,45.14041787
1147.25,46.3533,37.5831,35.10541821,46.04939107,37.39399107,45.20629107
1153.25,46.4097,37.6188,35.18197285,46.13156426,37.44506426,45.27246426
1159.25,46.4659,37.6544,35.25842749,46.21353746,37.49623746,45.33883746
1165.25,46.5217,37.69,35.33468213,46.29511065,37.54746065,45.40531065
1171.25,46.5773,37.72552,35.41083677,46.37648385,37.59872385,45.47218385
1177.25,46.6325,37.76097,35.48689141,46.45745704,37.65004704,45.53913704
1183.25,46.6875,37.79635,35.56284605,46.53823024,37.70142024,45.60636024
1189.25,46.74222,37.83167,35.63860069,46.61872344,37.75285344,45.67380344
1195.25,46.79661,37.86692,35.71430533,46.69888663,37.80432663,45.74145663
1201.25,46.85069,37.90211,35.78983997,46.77873983,37.85585983,45.80933983
1207.25,46.90445,37.93724,35.8652446,46.85827302,37.90744302,45.87743302
1213.25,46.95791,37.97229,35.94050924,46.93750622,37.95908622,45.94575622
1218,47,38,36,47,38,46
